Site Name,Continent,Country,Flag,Type,Endangered
Taï National Park,Africa,Ivory Coast,,Natural,No
Tchogha Zanbil,Asia,Iran,🇮🇷,Cultural,No
Te Henua Enata – The Marquesas Islands,Europe,France,🇫🇷,Mixed,No
Te Wahipounamu – South West New Zealand,Oceania,New Zealand,🇳🇿,Natural,No
Tehuacán-Cuicatlán Valley: originary habitat of Mesoamerica,North America,Mexico,🇲🇽,Mixed,No
Teide National Park,Europe,Spain,🇪🇸,Natural,No
"Temple Zone of Sambor Prei Kuk, Archaeological Site of Ancient Ishanapura",Asia,Cambodia,🇰🇭,Cultural,No
Temple and Cemetery of Confucius and the Kong Family Mansion in Qufu,Asia,China,🇨🇳,Cultural,No
Temple of Apollo Epicurius at Bassae,Europe,Greece,🇬🇷,Cultural,No
Temple of Heaven: an Imperial Sacrificial Altar in Beijing,Asia,China,🇨🇳,Cultural,No
Temple of Preah Vihear,Asia,Cambodia,🇰🇭,Cultural,No
The 20th-Century Architecture of Frank Lloyd Wright,North America,United States,🇺🇸,Cultural,No
The Ahwar of Southern Iraq: Refuge of Biodiversity and the Relict Landscape of the Mesopotamian Cities,Asia,Iraq,🇮🇶,Mixed,No
The Ancient Town of Si Thep and its Associated Dvaravati Monuments,Asia,Thailand,🇹🇭,Cultural,No
The Archaeological Heritage of Niah National Park’s Caves Complex,Asia,Malaysia,🇲🇾,Cultural,No
"The Architectural Work of Le Corbusier, an Outstanding Contribution to the Modern Movement","Asia, Europe, South America","Argentina, Belgium, France, Germany, India, Japan, Switzerland","🇦🇷, 🇧🇪, 🇨🇭, 🇩🇪, 🇫🇷, 🇮🇳, 🇯🇵",Cultural,No
The Cathedral of St James in Šibenik,Europe,Croatia,🇭🇷,Cultural,No
"The Causses and the Cévennes, Mediterranean agro-pastoral Cultural Landscape",Europe,France,🇫🇷,Cultural,No
"The Climats, terroirs of Burgundy",Europe,France,🇫🇷,Cultural,No
The Cosmological Axis of Yogyakarta and its Historic Landmarks,Asia,Indonesia,🇮🇩,Cultural,No
The Cultural Landscape of Al-Faw Archaeological Area,Asia,Saudi Arabia,🇸🇦,Cultural,No
The Dolomites,Europe,Italy,🇮🇹,Natural,No
The Emergence of Modern Human Behaviour: The Pleistocene Occupation Sites of South Africa,Africa,South Africa,🇿🇦,Cultural,No
The English Lake District,Europe,United Kingdom,🇬🇧,Cultural,No
The Flow Country,Europe,United Kingdom,🇬🇧,Natural,No
The Forth Bridge,Europe,United Kingdom,🇬🇧,Cultural,No
"The Four Lifts on the Canal du Centre and their Environs, La Louvière and Le Roeulx (Hainaut)",Europe,Belgium,🇧🇪,Cultural,No
The Gedeo Cultural Landscape,Africa,Ethiopia,🇪🇹,Cultural,No
The Grand Canal,Asia,China,🇨🇳,Cultural,No
The Great Spa Towns of Europe,Europe,"Austria, Belgium, Czechia, France, Germany, Italy, United Kingdom","🇦🇹, 🇧🇪, 🇨🇿, 🇩🇪, 🇫🇷, 🇬🇧, 🇮🇹",Cultural,No
The Great Wall,Asia,China,🇨🇳,Cultural,No
The Historic Centre (Chorá) with the Monastery of Saint-John the Theologian and the Cave of the Apocalypse on the Island of Pátmos,Europe,Greece,🇬🇷,Cultural,No
The Historic Centre of Odesa,Europe,Ukraine,🇺🇦,Cultural,Endangered
The Historic Town and Archaeological Site of Gedi,Africa,Kenya,🇰🇪,Cultural,No
"The Jantar Mantar, Jaipur",Asia,India,🇮🇳,Cultural,No
The Loire Valley between Sully-sur-Loire and Chalonnes,Europe,France,🇫🇷,Cultural,No
The Maison Carrée of Nîmes,Europe,France,🇫🇷,Cultural,No
The Persian Caravanserai,Asia,Iran,🇮🇷,Cultural,No
The Persian Garden,Asia,Iran,🇮🇷,Cultural,No
The Persian Qanat,Asia,Iran,🇮🇷,Cultural,No
The Porticoes of Bologna,Europe,Italy,🇮🇹,Cultural,No
The Sassi and the Park of the Rupestrian Churches of Matera,Europe,Italy,🇮🇹,Cultural,No
The Slate Landscape of Northwest Wales,Europe,United Kingdom,🇬🇧,Cultural,No
The Sundarbans,Asia,Bangladesh,🇧🇩,Natural,No
The par force hunting landscape in North Zealand,Europe,Denmark,🇩🇰,Cultural,No
The work of engineer Eladio Dieste: Church of Atlántida,South America,Uruguay,🇺🇾,Cultural,No
The works of Jože Plečnik in Ljubljana – Human Centred Urban Design,Europe,Slovenia,🇸🇮,Cultural,No
TheTrulliof Alberobello,Europe,Italy,🇮🇹,Cultural,No
Thimlich Ohinga Archaeological Site,Africa,Kenya,🇰🇪,Cultural,No
Thracian Tomb of Kazanlak,Europe,Bulgaria,🇧🇬,Cultural,No
Thracian Tomb of Sveshtari,Europe,Bulgaria,🇧🇬,Cultural,No
"Three Castles, Defensive Wall and Ramparts of the Market-Town of Bellinzona",Europe,Switzerland,🇨🇭,Cultural,No
Three Parallel Rivers of Yunnan Protected Areas,Asia,China,🇨🇳,Natural,No
Thungyai-Huai Kha Khaeng Wildlife Sanctuaries,Asia,Thailand,🇹🇭,Natural,No
Tikal National Park,North America,Guatemala,🇬🇹,Mixed,No
Timbuktu,Africa,Mali,🇲🇱,Cultural,Endangered
Timgad,Africa,Algeria,🇩🇿,Cultural,No
Tipasa,Africa,Algeria,🇩🇿,Cultural,No
Tiwanaku: Spiritual and Political Centre of the Tiwanaku Culture,South America,Bolivia,🇧🇴,Cultural,No
Tiya,Africa,Ethiopia,🇪🇹,Cultural,No
Tokaj Wine Region Historic Cultural Landscape,Europe,Hungary,🇭🇺,Cultural,No
Tomb of Askia,Africa,Mali,🇲🇱,Cultural,Endangered
Tombs of Buganda Kings at Kasubi,Africa,Uganda,🇺🇬,Cultural,No
Tomioka Silk Mill and Related Sites,Asia,Japan,🇯🇵,Cultural,No
Tongariro National Park,Oceania,New Zealand,🇳🇿,Mixed,No
Tower of Hercules,Europe,Spain,🇪🇸,Cultural,No
Tower of London,Europe,United Kingdom,🇬🇧,Cultural,No
Town Hall and Roland on the Marketplace of Bremen,Europe,Germany,🇩🇪,Cultural,No
Town of Bamberg,Europe,Germany,🇩🇪,Cultural,No
Town of Luang Prabang,Asia,Laos,🇱🇦,Cultural,No
Trang An Landscape Complex,Asia,Vietnam,🇻🇳,Mixed,No
Trans-Iranian Railway,Asia,Iran,🇮🇷,Cultural,No
Trinidad and the Valley de los Ingenios,North America,Cuba,🇨🇺,Cultural,No
Tropical Rainforest Heritage of Sumatra,Asia,Indonesia,🇮🇩,Natural,Endangered
Tr’ondëk-Klondike,North America,Canada,🇨🇦,Cultural,No
Tsodilo,Africa,Botswana,🇧🇼,Cultural,No
Tubbataha Reefs Natural Park,Asia,Philippines,🇵🇭,Natural,No
Tugay forests of the Tigrovaya Balka Nature Reserve,Asia,Tajikistan,🇹🇯,Natural,No
Tugendhat Villa in Brno,Europe,Czechia,🇨🇿,Cultural,No
Tusi Sites,Asia,China,🇨🇳,Cultural,No
Twyfelfontein or /Ui-//aes,Africa,Namibia,🇳🇦,Cultural,No
Tyre,Asia,Lebanon,🇱🇧,Cultural,No
Ujung Kulon National Park,Asia,Indonesia,🇮🇩,Natural,No
Uluru-Kata Tjuta National Park,Oceania,Australia,🇦🇺,Mixed,No
Um er-Rasas (Kastrom Mefa'a),Asia,Jordan,🇯🇴,Cultural,No
Umm Al-Jimāl,Asia,Jordan,🇯🇴,Cultural,No
University and Historic Precinct of Alcalá de Henares,Europe,Spain,🇪🇸,Cultural,No
University of Coimbra – Alta and Sofia,Europe,Portugal,🇵🇹,Cultural,No
Upper Middle Rhine Valley,Europe,Germany,🇩🇪,Cultural,No
Upper Svaneti,Asia,Georgia,🇬🇪,Cultural,No
Urban Historic Centre of Cienfuegos,North America,Cuba,🇨🇺,Cultural,No
Urnes Stave Church,Europe,Norway,🇳🇴,Cultural,No
Uvs Nuur Basin,"Asia, Europe","Mongolia, Russia","🇲🇳, 🇷🇺",Natural,No
Val d'Orcia,Europe,Italy,🇮🇹,Cultural,No
Vallée de Mai Nature Reserve,Africa,Seychelles,🇸🇨,Natural,No
Valongo Wharf Archaeological Site,South America,Brazil,🇧🇷,Cultural,No
Van Nellefabriek,Europe,Netherlands,🇳🇱,Cultural,No
Vat Phou and Associated Ancient Settlements within the Champasak Cultural Landscape,Asia,Laos,🇱🇦,Cultural,No
Vatican City,,Vatican City (Holy See),🇻🇦,Cultural,No
Vatnajökull National Park - Dynamic Nature of Fire and Ice,Europe,Iceland,🇮🇸,Natural,No
Vegaøyan – The Vega Archipelago,Europe,Norway,🇳🇴,Cultural,No
Venetian Works of Defence between the 16th and 17th Centuries:Stato da Terra– WesternStato da Mar,Europe,"Croatia, Italy, Montenegro","🇭🇷, 🇮🇹, 🇲🇪",Cultural,No
Venice and its Lagoon,Europe,Italy,🇮🇹,Cultural,No
Verla Groundwood and Board Mill,Europe,Finland,🇫🇮,Cultural,No
Via Appia.Regina Viarum,Europe,Italy,🇮🇹,Cultural,No
Victorian Gothic and Art Deco Ensembles of Mumbai,Asia,India,🇮🇳,Cultural,No
Viking-Age Ring Fortresses,Europe,Denmark,🇩🇰,Cultural,No
Villa Adriana (Tivoli),Europe,Italy,🇮🇹,Cultural,No
Villa Romana del Casale,Europe,Italy,🇮🇹,Cultural,No
"Villa d'Este, Tivoli",Europe,Italy,🇮🇹,Cultural,No
Villages with Fortified Churches in Transylvania,Europe,Romania,🇷🇴,Cultural,No
Vilnius Historic Centre,Europe,Lithuania,🇱🇹,Cultural,No
Vineyard Landscape of Piedmont: Langhe-Roero and Monferrato,Europe,Italy,🇮🇹,Cultural,No
Virgin Komi Forests,Europe,Russia,🇷🇺,Natural,No
Virunga National Park,,DR Congo,🇨🇩,Natural,Endangered
Vizcaya Bridge,Europe,Spain,🇪🇸,Cultural,No
Viñales Valley,North America,Cuba,🇨🇺,Cultural,No
"Vjetrenica Cave, Ravno",Europe,Bosnia and Herzegovina,🇧🇦,Natural,No
Vlkolínec,Europe,Slovakia,🇸🇰,Cultural,No
Volcanoes and Forests of Mount Pelée and the Pitons of Northern Martinique,Europe,France,🇫🇷,Natural,No
Volcanoes of Kamchatka,Europe,Russia,🇷🇺,Natural,No
Vredefort Dome,Africa,South Africa,🇿🇦,Natural,No
"Vézelay, Church and Hill",Europe,France,🇫🇷,Cultural,No
Völklingen Ironworks,Europe,Germany,🇩🇪,Cultural,No
W-Arly-Pendjari Complex,Africa,"Benin, Burkina Faso, Niger","🇧🇫, 🇧🇯, 🇳🇪",Natural,No
Wachau Cultural Landscape,Europe,Austria,🇦🇹,Cultural,No
Wadden Sea,Europe,"Denmark, Germany, Netherlands","🇩🇪, 🇩🇰, 🇳🇱",Natural,No
Wadi Al-Hitan (Whale Valley),Africa,Egypt,🇪🇬,Natural,No
Wadi Rum Protected Area,Asia,Jordan,🇯🇴,Mixed,No
Walled City of Baku with the Shirvanshah's Palace and Maiden Tower,Asia,Azerbaijan,🇦🇿,Cultural,No
Wartburg Castle,Europe,Germany,🇩🇪,Cultural,No
Water Management System of Augsburg,Europe,Germany,🇩🇪,Cultural,No
Waterton Glacier International Peace Park,North America,"Canada, United States","🇨🇦, 🇺🇸",Natural,No
West Lake Cultural Landscape of Hangzhou,Asia,China,🇨🇳,Cultural,No
West Norwegian Fjords – Geirangerfjord and Nærøyfjord,Europe,Norway,🇳🇴,Natural,No
Western Caucasus,Europe,Russia,🇷🇺,Natural,No
Western Ghats,Asia,India,🇮🇳,Natural,No
Western Tien-Shan,Asia,"Kazakhstan, Kyrgyzstan, Uzbekistan","🇰🇬, 🇰🇿, 🇺🇿",Natural,No
Wet Tropics of Queensland,Oceania,Australia,🇦🇺,Natural,No
Whale Sanctuary of El Vizcaino,North America,Mexico,🇲🇽,Natural,No
White City of Tel-Aviv – the Modern Movement,Asia,Israel,🇮🇱,Cultural,No
White Monuments of Vladimir and Suzdal,Europe,Russia,🇷🇺,Cultural,No
Wieliczka and Bochnia Royal Salt Mines,Europe,Poland,🇵🇱,Cultural,No
Willandra Lakes Region,Oceania,Australia,🇦🇺,Mixed,No
Wood Buffalo National Park,North America,Canada,🇨🇦,Natural,No
Wooden Churches of Maramureş,Europe,Romania,🇷🇴,Cultural,No
Wooden Churches of Southern Małopolska,Europe,Poland,🇵🇱,Cultural,No
Wooden Churches of the Slovak part of the Carpathian Mountain Area,Europe,Slovakia,🇸🇰,Cultural,No
Wooden Hypostyle Mosques of Medieval Anatolia,Asia,Turkey,🇹🇷,Cultural,No
WoodenTserkvasof the Carpathian Region in Poland and Ukraine,Europe,"Poland, Ukraine","🇵🇱, 🇺🇦",Cultural,No
Works of Antoni Gaudí,Europe,Spain,🇪🇸,Cultural,No
Writing-on-Stone / Áísínai’pi,North America,Canada,🇨🇦,Cultural,No
Wulingyuan Scenic and Historic Interest Area,Asia,China,🇨🇳,Natural,No
Würzburg Residence with the Court Gardens and Residence Square,Europe,Germany,🇩🇪,Cultural,No
Xanthos-Letoon,Asia,Turkey,🇹🇷,Cultural,No
Xinjiang Tianshan,Asia,China,🇨🇳,Natural,No
Yakushima,Asia,Japan,🇯🇵,Natural,No
Yellowstone National Park,North America,United States,🇺🇸,Natural,No
Yin Xu,Asia,China,🇨🇳,Cultural,No
Yosemite National Park,North America,United States,🇺🇸,Natural,No
Yungang Grottoes,Asia,China,🇨🇳,Cultural,No
Zagori Cultural Landscape,Europe,Greece,🇬🇷,Cultural,No
Zollverein Coal Mine Industrial Complex in Essen,Europe,Germany,🇩🇪,Cultural,No
Zuojiang Huashan Rock Art Cultural Landscape,Asia,China,🇨🇳,Cultural,No
iSimangaliso Wetland Park,Africa,South Africa,🇿🇦,Natural,No
Þingvellir National Park,Europe,Iceland,🇮🇸,Cultural,No
Ħal Saflieni Hypogeum,Europe,Malta,🇲🇹,Cultural,No
Škocjan Caves,Europe,Slovenia,🇸🇮,Natural,No
Žatec and the Landscape of Saaz Hops,Europe,Czechia,🇨🇿,Cultural,No
ǂKhomani Cultural Landscape,Africa,South Africa,🇿🇦,Cultural,No
Ḥimā Cultural Area,Asia,Saudi Arabia,🇸🇦,Cultural,No
‘Uruq Bani Ma’arid,Asia,Saudi Arabia,🇸🇦,Natural,No
